contentsid;label;contentscd;title;regioncd_value;regioncd_label;region1cd_value;region1cd_label;region2cd_value;region2cd_label;tag
CNTS_000000000022880;관광지;c1;한모살 (표선백사장);2;동부;region2;서귀포시;26;표선;4.3,문화유적지,문화관광,제주4.3,역사유적,어트랙션
CNTS_000000000019112;관광지;c1;묵리해안포구;1;북부;region1;제주시;11;제주시내;포구,해변,문화유적지
CNTS_200000000011375;음식점;c4;제주 핫팟;1;북부;region1;제주시;11;제주시내;커플,부모,휴식/힐링,카페,음식,식당,마라탕,중식,소고기,등심,꽃등심,항정살,갈비,오겹살,양고기,꿔바로우,야채구이,양꼬치,마라우육,만두,산라탕,마파두부,새우볶음밥,해물볶음면,꽃빵,무장애관광,공용주차장,현금결제,카드결제,화장실,무료WIFI,유도및안내시설,경보및피난시설,카드결제,현금결제,영어,중국어,단독접근가능,청각장애인접근성,시각장애인접근성,장애인화장실,승강기,장애인전용주차장,쉬움,중식,훠궈,핫팟,어린이출입가능,요청시제공,가능,있음
CNTS_000000000021074;관광지;c1;세화항;2;동부;region1;제주시;16;구좌;맑음,자연경관,아주어려움
CNTS_200000000009176;쇼핑;c2;캔북스;1;북부;region1;제주시;11;제주시내;커플,혼자,친구,쇼핑,사계절,청년,휴식/치유,전시와행사
CNTS_000000000020983;관광지;c1;성산~세화 해안도로;2;동부;region2;서귀포시;17;성산;일출,해변,드라이브,커플,맑음,여름,아주어려움
CNTS_000000000022876;관광지;c1;조천중학원 옛터;1;북부;region1;제주시;15;조천;문화유적지,4.3
CNTS_200000000012073;관광지;c1;영등할망 신화공원;3;서부;region1;제주시;13;한림;테마공원,경관/포토,문화유적지,역사유적,포토스팟,어트랙션,쉬움
CNTS_200000000015018;쇼핑;c2;943스튜디오;1;북부;region1;제주시;15;조천;함덕,소품샵,사진,제주풍경
CNTS_200000000010374;관광지;c1;북촌리 4.3길;1;북부;region1;제주시;15;조천;4.3,길,도보,북촌,너븐숭이
CNTS_200000000013314;음식점;c4;메로식당;4;남부;region2;서귀포시;21;서귀포시내;메로구이,메로탕면,메로조림,안심채움,맛있는제주만들기,음식,식당
CNTS_000000000021761;테마여행;c6;겨울 제주 별자리 <동서남북을 꿈과 낭만으로 수놓다>;0;테마여행;region2;서귀포시;;region1>;자연,야경,박물관,밤,오름,테마공원,경관/포토,친구,커플,혼자,아이,맑음,겨울,포토스팟
CNTS_200000000014078;음식점;c4;넘은봄;2;동부;region1;제주시;16;구좌;식당,한식,럭셔리트래블인제주,한우,흑돼지,음식,현금결제,카드결제,화장실,카드결제,현금결제
